experiment,setting,source,accuracy,f1_score,precision,recall,roc_auc,loss
01_logistic_regression_geographic,federated,flower_history,0.6929307805596465,0.6786211899424555,0.8026195021222234,0.587810103145152,0.7209895455712066,0.3070692197885593
02_logistic_regression_strong_non_iid,federated,flower_history,0.5507547431103725,0.6969674739445845,0.5751437619018336,0.9676727052093266,0.6773847294153575,0.4492452630436564
03_logistic_regression_increased_epochs,federated,flower_history,0.5507547431103725,0.6969674739445845,0.5751437619018336,0.9676727052093266,0.6773847294153575,0.4492452630436564
04_neural_network_3rounds,federated,flower_history,0.6922863869270184,0.6032526932839017,0.7794076750606992,0.5179792356682856,0.6945632681713543,0.30771360795900043
05_neural_network_local_baselines,local_client_1_express,local_baseline_nn,0.8515510584476101,0.9060261272650654,0.9478046199964733,0.867775266386826,0.9021920078926161,
05_neural_network_local_baselines,local_client_2_standard,local_baseline_nn,0.6547177729593621,0.5194918966272448,0.7684665226781857,0.39236876929863257,0.6577518694673723,
06_centralized_neural_network,centralized,centralized_baseline_nn,0.6949645468646133,0.6723978939227176,0.8177411185876564,0.5709234188724995,0.7407482833362401,
07_neural_network_5rounds,federated,flower_history,0.6956100263121451,0.5995367303521496,0.8075122973210043,0.48946609972126565,0.709212494194441,0.30438997251202304
